"country","total_cases","new_cases","total_deaths","new_deaths","total_recovered","new_recovered","active_cases","serious_critical","tot_cases_1m_pop","deaths_1m_pop","total_tests","tests_1m_pop","population","continent","x1_caseevery_x_ppl","x1_deathevery_x_ppl","x1_testevery_x_ppl","fatality_rate","population_2020","yearly_change","net_change","density_km2","land_area_km2","migrants_net","fert_rate","med_age","urban_pop_percent","world_share"
"Botswana",686,0,1,0,52,0,633,1,291,4,62296,26457,"2,354,646","Africa","3,432","2,354,646","38",0.0015,2351627,0.0208,47930,4,566730,3000,2.8944,24,0.728,0
"Réunion",657,0,3,0,558,0,96,4,733,3,35419,39541,"895,760","Africa","1,363","298,587","25",0.0046,895312,0.0072,6385,358,2500,-1256,2.2735,36,0.998,0
"Syria",650,23,38,2,200,9,412,0,37,2,0,0,"17,526,786","Asia","26,964","461,231","",0.0585,17500658,0.0252,430523,95,183630,-427391,2.8398,26,0.6,0.002
"Channel Islands",584,0,47,0,533,0,4,0,3357,270,30721,176584,"173,974","Europe","298","3,702","6",0.0805,173863,0.0093,1604,915,190,1351,1.502,43,0.298,0
"Tanzania",509,0,21,0,183,0,305,7,9,4,0,0,"59,835,043","Africa","117,554","2,849,288","",0.0413,59734218,0.0298,1728755,67,885800,-40076,4.9237,18,0.37,0.008
"Lesotho",505,86,12,3,128,59,365,0,236,6,7463,3482,"2,143,433","Africa","4,244","178,619","287",0.0238,2142249,0.008,16981,71,30360,-10047,3.1641,24,0.315,0
"Taiwan",458,0,7,0,440,0,11,0,19,3,80499,3379,"23,819,907","Asia","52,009","3,402,844","296",0.0153,23816775,0.0018,42899,673,35410,30001,1.15,42,0.789,0.003
"Vietnam",420,3,0,0,365,0,55,0,4,0,275000,2823,"97,399,175","Asia","231,903","","354",0,97338579,0.0091,876473,314,310070,-80000,2.0556,32,0.377,0.012
"Burundi",361,0,1,0,279,0,81,0,30,8,13105,1100,"11,911,526","Africa","32,996","11,911,526","909",0.0028,11890784,0.0312,360204,463,25680,2001,5.45,17,0.138,0.002
"Guyana",360,0,20,0,180,0,160,4,458,25,4188,5323,"786,822","South America","2,186","39,341","188",0.0556,786552,0.0048,3786,4,196850,-6000,2.4728,27,0.269,0
"Comoros",354,0,7,0,328,0,19,0,407,8,0,0,"870,768","Africa","2,460","124,395","",0.0198,869601,0.022,18715,467,1861,-2000,4.2365,20,0.294,0
"Myanmar",350,2,6,0,290,2,54,0,6,1,110526,2030,"54,435,444","Asia","155,530","9,072,574","493",0.0171,54409800,0.0067,364380,83,653290,-163313,2.17,29,0.314,0.007
"Mauritius",344,0,10,0,332,0,2,0,270,8,205285,161398,"1,271,921","Africa","3,697","127,192","6",0.0291,1271768,0.0017,2100,626,2030,0,1.3885,37,0.408,0
"Bahamas",342,16,11,0,91,0,240,1,869,28,3966,10079,"393,503","North America","1,151","35,773","99",0.0322,393244,0.0097,3762,39,10010,1000,1.76,32,0.861,0
"Isle of Man",336,0,24,0,312,0,0,0,3950,282,7829,92036,"85,065","Europe","253","3,544","11",0.0714,85033,0.0053,449,149,570,,,,0.534,0
"Mongolia",288,0,0,0,218,0,70,9,88,0,33128,10095,"3,281,756","Asia","11,395","","99",0,3278290,0.0165,53123,2,1553560,-852,2.9023,28,0.672,0
"Gambia",277,0,6,0,60,0,211,0,114,2,4515,1865,"2,420,705","Africa","8,739","403,451","536",0.0217,2416668,0.0294,68962,239,10120,-3087,5.25,18,0.594,0
"Martinique",269,0,15,0,98,0,156,4,717,40,12227,32584,"375,244","North America","1,395","25,016","31",0.0558,375265,-8e-04,-289,354,1060,-960,1.88,47,0.916,0
"Eritrea",263,0,0,0,189,0,74,0,74,0,0,0,"3,549,699","Africa","13,497","","",0,3546421,0.0141,49304,35,101000,-39858,4.1,19,0.633,0
"Cambodia",225,0,0,0,143,0,82,1,13,0,58499,3496,"16,734,420","Asia","74,375","","286",0,16718965,0.0141,232423,95,176520,-30000,2.5238,26,0.242,0.002
"Faeroe Islands",214,22,0,0,188,0,26,2,4378,0,33149,678227,"48,876","Europe","228","","1",0,48863,0.0038,185,35,1396,,,,0.433,0
"Guadeloupe",203,0,14,0,176,0,13,3,507,35,15235,38075,"400,129","North America","1,971","28,581","26",0.069,400124,2e-04,68,237,1690,-1440,2.17,44,,0
