"dates","total_cases","recovered","deaths","treated","daily_cases","daily_recovered","daily_deaths","daily_treated","pct_recovered","pct_deaths","pct_treated","examined_specimen","total_examined_specimen","negative","daily_new_specimen","kasus_diperiksa_baru_harian","pdp","odp"
2020-04-21,7135,842,616,5677,375,95,26,254,11.80098108,8.633496847,79.56552207,50370,46173,39038,603,2424,16763,186330
2020-04-22,7418,913,635,5870,283,71,19,193,12.3078997,8.56025883,79.13184147,55732,47361,39943,5362,1188,17754,193571
2020-04-23,7775,960,647,6168,357,47,12,298,12.34726688,8.321543408,79.33118971,59935,48647,40872,4203,1286,18283,195948
2020-04-24,8211,1002,689,6520,436,42,42,352,12.20314213,8.39118256,79.40567531,64054,50563,42352,4119,1916,18301,197951
2020-04-25,8607,1042,720,6845,396,40,31,325,12.106425,8.365284071,79.52829093,67828,52541,43934,3774,1978,19084,206911
2020-04-26,8882,1107,743,7032,275,65,23,187,12.46340914,8.365233056,79.1713578,72099,56974,48092,4271,4433,19648,209040
2020-04-27,9096,1151,765,7180,214,44,22,148,12.65391381,8.410290237,78.93579595,75157,59409,50313,3058,2435,19987,210199
2020-04-28,9511,1254,773,7484,415,103,8,304,13.18473347,8.127431395,78.68783514,79618,62544,53033,4461,3135,20428,213644
2020-04-29,9771,1391,784,7596,260,137,11,112,14.2360045,8.023743731,77.74025177,86985,67784,58013,7367,524,21653,221750
2020-04-30,10118,1522,792,7804,347,131,8,208,15.04249852,7.82763392,77.12986756,94599,72531,60233,7614,4567,21827,230411
2020-05-01,10551,1591,800,8160,433,69,8,356,15.07913942,7.582219695,77.33864089,102305,76538,65987,7706,4187,22123,233120
2020-05-02,10843,1665,831,8347,292,74,31,187,15.35552891,7.663930647,76.98054044,107943,79868,69025,5638,333,22545,235035
2020-05-03,11192,1876,845,8471,349,211,14,124,16.76197284,7.55003574,75.68799142,112965,83012,71820,5022,3144,23130,236369
2020-05-04,11587,1954,864,8769,395,78,19,298,16.86372659,7.456632433,75.67964098,116861,86061,74474,3896,3049,24020,238178
2020-05-05,12071,2197,872,9002,484,243,8,233,18.20064618,7.22392511,74.57542871,121547,88924,76853,4686,2863,26408,239226
2020-05-06,12438,2317,895,9226,367,120,23,224,18.62839685,7.195690626,74.17591253,128383,92976,80538,6836,4052,26932,240726
2020-05-07,12776,2381,930,9465,338,64,35,239,18.63650595,7.279273638,74.08422041,134151,96717,83941,5768,3741,28508,243455
2020-05-08,13112,2494,943,9675,336,113,13,210,19.02074436,7.191885296,73.78737035,143781,103361,90249,9301,6644,29087,244480
2020-05-09,13645,2607,959,10079,533,113,16,404,19.1058996,7.028215464,73.86588494,150887,108699,95054,7435,5338,29690,246847
2020-05-10,14032,2698,973,10361,387,91,14,282,19.22748005,6.934150513,73.83836944,158273,113452,99420,7386,4753,30317,248690
2020-05-11,14265,2881,991,10393,233,183,18,32,20.19628461,6.947073256,72.85664213,161351,116358,102093,3078,2906,31994,249105
2020-05-12,14749,3063,1007,10679,484,182,16,286,20.76750966,6.827581531,72.40490881,165128,119728,104979,3777,337,32147,251861
2020-05-13,15438,3287,1028,11123,689,224,21,444,21.29161809,6.658893639,72.04948828,169195,123572,108134,4067,3844,33042,256299
2020-05-14,16006,3518,1043,11445,568,231,15,322,21.97925778,6.516306385,71.50443584,173690,127813,111807,4495,4241,33672,258639
2020-05-15,16496,3803,1076,11617,490,285,33,172,23.05407371,6.522793404,70.42313288,178602,132060,115564,4912,4247,34360,262919
2020-05-16,17025,3911,1089,12025,529,108,13,408,22.97209985,6.396475771,70.63142438,182818,135726,118701,4216,3665,35069,269449
2020-05-17,17514,4129,1148,12237,489,218,59,212,23.57542537,6.554756195,69.86981843,187965,140473,122959,5147,4748,35800,270876
2020-05-18,18010,4324,1191,12495,496,195,43,258,24.00888395,6.612992782,69.37812326,190660,143035,125025,2695,2562,11422,45047
2020-05-19,18496,4467,1221,12808,486,143,30,313,24.15116782,6.601427336,69.24740484,202936,147799,129303,12276,4764,11891,45300
2020-05-20,19189,4575,1242,13372,693,108,21,564,23.84178436,6.472458179,69.68575747,211883,154139,134950,8947,634,11705,44703
2020-05-21,20162,4838,1278,14046,973,263,36,674,23.99563535,6.338656879,69.66570777,219975,160374,140212,8092,6235,11066,50187
2020-05-22,20796,5057,1326,14413,634,219,48,367,24.31717638,6.376226197,69.30659742,229334,21743,148173,9359,8595,11028,47150
2020-05-23,21745,5249,1351,15145,949,192,25,732,24.1388825,6.212922511,69.64819499,239740,176035,154290,10406,7066,11495,49958
2020-05-24,22271,5402,1372,15497,526,153,21,352,24.25575861,6.160477751,69.58376364,248555,179964,157593,8815,3829,11389,42551
2020-05-25,22750,5642,1391,15717,479,240,19,220,24.8,6.114285714,69.08571429,256946,183192,160442,8391,3328,12342,49361
2020-05-26,23165,5877,1418,15870,415,235,27,153,25.37017052,6.121303691,68.50852579,264098,188302,165137,7152,511,12022,65748
2020-05-27,23851,6057,1473,16321,686,180,55,451,25.39516163,6.175841684,68.42899669,278411,195518,171667,14313,7216,12667,49942
2020-05-28,24538,6240,1496,16802,687,183,23,481,25.42994539,6.096666395,68.47338821,289906,201311,176773,11495,5793,13250,48749
2020-05-29,25216,6492,1520,17204,678,252,24,402,25.74555838,6.027918782,68.22652284,300545,205165,179949,10639,3854,12499,49212
2020-05-30,25773,7015,1573,17185,557,523,53,-19,27.21840686,6.103286385,66.67830676,311906,216769,190996,11361,11604,12832,47714
2020-05-31,26473,7308,1613,17552,700,293,40,367,27.60548483,6.093000416,66.30151475,323376,223624,197151,1147,6855,12913,49936
2020-06-01,26940,7637,1641,17662,467,329,28,110,28.34818114,6.091314031,65.56050483,333415,232113,205173,10039,8489,13120,48358
2020-06-02,27549,7935,1663,17951,609,298,22,289,28.80322335,6.036516752,65.1602599,342464,237947,210398,9049,5834,13213,48023
2020-06-03,28233,8406,1698,18129,684,471,35,178,29.77366911,6.014238657,64.21209223,354434,246433,218200,1197,8486,13285,48153
2020-06-04,28818,8892,1721,18205,585,486,23,76,30.85571518,5.971961968,63.17232285,367640,251736,222918,13206,5303,13416,47373
2020-06-05,29521,9443,1770,18308,703,551,49,103,31.9873988,5.995731852,62.01686935,380973,256810,227289,13333,5074,13592,49320
2020-06-06,30514,9907,1801,18806,993,464,31,498,32.4670643,5.902208822,61.63072688,394068,264740,234226,13095,793,13347,46571
2020-06-07,31186,10498,1851,18837,672,591,50,31,33.66254088,5.935355608,60.40210351,405992,269146,237960,11924,4406,14197,40370
2020-06-08,32033,10904,1883,19246,847,406,32,409,34.03989636,5.87831299,60.08179065,412980,274430,242397,6988,5284,14010,38791
2020-06-09,33076,11414,1923,19739,1043,510,40,493,34.50840489,5.813883178,59.67771194,429161,281653,248577,16181,7223,14108,38394
2020-06-10,34316,12129,1959,20228,1240,715,36,489,35.34502856,5.708707309,58.94626413,446918,287478,253162,17757,5826,14242,43945
2020-06-11,35295,12636,2000,20659,979,507,41,431,35.80110497,5.666525004,58.53237002,463620,294671,259376,16702,7193,14052,43414
2020-06-12,36406,13213,2048,21145,1111,577,48,486,36.29346811,5.625446355,58.08108554,478953,302147,265741,15333,7476,13923,37538
2020-06-13,37420,13776,2091,21553,1014,563,43,408,36.81453768,5.587920898,57.59754142,495527,313275,275855,16574,11128,13578,42450
2020-06-14,38277,14531,2134,21612,857,755,43,59,37.96274525,5.575149568,56.46210518,514287,322933,284656,18760,9658,13574,41639
2020-06-15,39294,15123,2198,21973,1017,592,64,361,38.48679188,5.593729323,55.9194788,523063,329190,289896,8776,6257,13649,36744
2020-06-16,40400,15703,2231,22466,1106,580,33,493,38.86881188,5.522277228,55.60891089,540115,339309,298909,17052,10119,13510,29124
2020-06-17,41431,16243,2276,22912,1031,540,45,446,39.20494316,5.493471072,55.30158577,559872,348278,306847,19757,8969,13279,42714
2020-06-18,42762,16798,2339,23625,1331,555,63,713,39.28254057,5.469809644,55.24764978,580522,358659,315897,20650,10381,17923,36698
2020-06-19,43803,17349,2373,24081,1041,551,34,456,39.60687624,5.417437162,54.9756866,601239,366581,322778,20717,7922,13211,36464
2020-06-20,45029,17883,2429,24717,1226,534,56,636,39.71440627,5.39430145,54.89129228,621156,376518,331489,19917,7877,13150,37336
2020-06-21,45891,18404,2465,25022,862,521,36,305,40.10372404,5.371423591,54.52485237,639385,383105,337214,18229,8647,13225,56436
2020-06-22,46845,18735,2500,25610,954,331,35,588,39.9935959,5.336748853,54.66965525,650311,393117,346272,10926,10012,12999,43500
2020-06-23,47896,19241,2535,26120,1051,506,35,510,40.17245699,5.292717555,54.53482546,668219,401681,353785,17908,8564,13348,35983
2020-06-24,49009,19658,2573,26778,1113,417,38,658,40.11100002,5.250056112,54.63894387,689452,413919,364910,21233,12238,13069,36648
2020-06-25,50187,20449,2620,27118,1178,791,47,340,40.74561141,5.220475422,54.03391316,708962,427158,376971,19510,13239,13323,37294
2020-06-26,51427,21333,2683,27411,1240,884,63,293,41.48210084,5.217103856,53.3007953,731781,439907,388480,22819,12749,13506,38381
2020-06-27,52812,21909,2720,28183,1385,576,37,772,41.4848898,5.150344619,53.36476558,753370,449569,396757,21589,9662,13522,40541
2020-06-28,54010,22936,2754,28320,1198,1027,34,137,42.46620996,5.09905573,52.43473431,770600,456636,402626,17230,7067,14712,47658
2020-06-29,55092,23800,2805,28487,1082,864,51,167,43.20046468,5.091483337,51.70805199,782383,465683,410591,11783,9047,13335,41605
2020-06-30,56385,24806,2876,28703,1293,1006,71,216,43.99397003,5.100647335,50.90538264,803896,477318,420933,21515,11636,13182,43797
2020-07-01,57770,25595,2934,29241,1385,789,58,538,44305,5079,50616,825636,492318,434548,21738,15000,13296,45192
2020-07-02,59394,26667,2987,29740,1624,1072,53,499,44898,5029,50072,849155,503132,443738,23519,10814,13359,40778
2020-07-03,60695,27568,3036,30091,1301,901,49,351,45421,5002,49577,871436,519970,459275,22281,16838,13609,38767
2020-07-04,62142,28219,3089,30834,1447,651,53,743,45411,4971,49619,894428,529669,467257,22992,9699,14205,38890
2020-07-05,63749,29105,3171,31473,1607,886,82,639,45656,4974,49370,915482,540175,476426,21045,10506,13767,39928
2020-07-06,64958,29919,3241,31798,1209,814,70,325,46059,4989,48952,928238,552084,487126,12756,11909,13360,38748
2020-07-07,66226,30785,3309,32132,1268,866,68,334,46485,4997,48519,946054,562759,496533,17816,10675,13471,38702
2020-07-08,68079,31585,3359,33135,1853,800,50,1003,46395,4934,48671,968237,581594,507447,22183,12777,13636,38498
2020-07-09,70736,32651,3417,34668,2657,1066,58,1533,46159,4831,49010,992069,588080,517344,23832,12554,13732,38498
2020-07-10,72347,33529,3469,35349,1611,878,52,681,46345,4795,48860,1015678,597468,525121,23609,9388,13882,38705
2020-07-11,74018,34719,3535,35764,1671,1190,66,415,46906,4776,48318,1038988,610093,536075,23310,12625,13752,34887
2020-07-12,75699,35638,3606,36455,1681,919,71,691,47079,4764,48158,1061367,621087,545388,22379,10994,14515,34486
2020-07-13,76981,36689,3656,36636,1282,1051,50,181,47660,4749,47591,1074467,630149,553168,13100,9062,13439,33504
2020-07-14,78572,37636,3710,37226,1591,947,54,590,47900,4722,47378,1097468,642164,563592,23001,12015,,
2020-07-15,80094,39050,3797,37247,1522,1414,87,21,48755,4741,46504,1122339,657655,577561,24871,15491,,
2020-07-16,81668,40345,3873,37450,1574,1295,76,203,49401,4742,45856,1146794,669811,588143,23947,12156,,
2020-07-17,83130,41834,3957,37339,1462,1489,84,-111,50324,4760,44916,1175462,683805,600675,29176,13994,,
2020-07-18,84882,43268,4016,37598,1752,1434,59,259,50974,4731,44294,1201014,697043,612161,25552,13238,,
2020-07-19,86521,45401,4143,36977,1639,2133,127,-621,52474,4788,42738,1221518,707238,620717,20504,10195,,
2020-07-20,88214,46977,4239,36998,1693,1576,96,21,53253,4805,41941,1235545,720497,632283,14027,13259,,
2020-07-21,89869,48466,4320,37083,1655,1489,81,85,53930,4807,41263,1257807,737844,647975,22262,17347,,
2020-07-22,91751,50255,4459,37031,1882,1789,139,-52,54780,4860,40360,1283109,749626,657875,25302,11782,,
2020-07-23,93657,52164,4576,36917,1906,1909,117,-120,55697,4886,39417,1310924,762957,669300,27815,13331,,
2020-07-24,95418,53945,4665,36808,1761,1781,89,-109,56535,4889,38576,1335889,777100,681682,24965,14143,,
2020-07-25,97286,55354,4714,37218,1868,1409,49,410,56898,4846,38256,1361207,789258,691972,25318,12158,,
2020-07-26,98778,56655,4781,37342,1492,1301,67,124,57356,4840,37804,1381699,796950,698172,20492,7692,,
